Rank-Avg	Elev-Avg	Rank-Prov	Elev-Prov	Rank-Opt	Elev-Opt	Name	Quad	Map1	Map2	Map3	Map4	Map5
121	3331	113	3331	126	3331	Flat Mountain	Mount Tripyramid	http://listsofjohn.com/peak/100699				
122	3331	114	3331	127	3331	UP-E Hitchcock	Mount Osceola	http://listsofjohn.com/mapf?lat=44.0763&lon=-71.5143				
123	3326	115	3326	128	3326	UP-W Blue	Tinkerville	http://listsofjohn.com/mapf?lat=44.7903&lon=-71.5050				
124	3313	116	3313	130	3313	"Kineo, Mount"	Mount Kineo	http://listsofjohn.com/peak/100701				
125	3306		3306	129	3319	UP-E Huntington	Mount Osceola	http://listsofjohn.com/mapf?lat=44.0389&lon=-71.4690	https://listsofjohn.com/mapf?lat=44.0391&lon=-71.4591&z=16&t=u	https://listsofjohn.com/mapf?lat=44.0388&lon=-71.4672&z=16&t=u		
126	3304	117	3304	131	3304	Black Mountain	Jackson	http://listsofjohn.com/peak/100702				
127	3294	118	3294	132	3294	Big Coolidge Mountain	Lincoln	http://listsofjohn.com/peak/100705				
128	3279	119	3279	133	3279	Crystal Mountain	Mount Pisgah	https://listsofjohn.com/peak/100706				
129	3277	120	3277	134	3277	UP - Snag Pd	Moose Bog	https://listsofjohn.com/peak/100707				
130	3268	121	3268	135	3268	Kearsarge North	North Conway East	http://listsofjohn.com/peak/100708				
131	3264	122	3264	136	3264	Black Crescent Mountain	Mount Crescent	https://listsofjohn.com/peak/100709				
132	3261		3261	137	3261	Big Bickford Mountain	Franconia	http://listsofjohn.com/peak/100710				
133	3251	123	3251	138	3251	"Crescent, Mount"	Mount Crescent	http://listsofjohn.com/peak/100712				
	3244		3244	139	3244	Engine Hill	Stairs Mountain	http://listsofjohn.com/peak/100714				
134	3238	124	3238	141	3239	Smarts Mountain	Smarts Mountain	http://listsofjohn.com/peak/17496	https://listsofjohn.com/mapf?lat=43.8257&lon=-72.0322&z=16&t=u&d=r			
135	3234	125	3234	142	3234	"Percy Peaks, South"	Percy Peaks	http://listsofjohn.com/peak/100715				
136	3230	126	3230	143	3230	Diamond Ridge	Magalloway Mountain	http://listsofjohn.com/peak/100716				
137	3230	127	3230	144	3230	UP - Crystal Middle	Mount Pisgah	http://listsofjohn.com/peak/100717				
138	3221	128	3221	145	3221	"Cushman, Mount"	Mount Kineo	http://listsofjohn.com/peak/100718				
139	3220	129	3200	140	3239	Bear Mountain	Bartlett	http://listsofjohn.com/peak/100719	https://listsofjohn.com/mapf?lat=44.0261&lon=-71.2988&z=16&t=u&d=r			
140	3210	130	3200	146	3219	West Royce Mountain	Wild River	http://listsofjohn.com/peak/100720				
141	3198	131	3198	149	3198	"Paugus, Mount"	Mount Chocorua	http://listsofjohn.com/peak/100721				
142	3196	132	3196	150	3196	North Moat Mountain	North Conway West	http://listsofjohn.com/peak/100722				
	3195		3195	151	3195	UP-N Black Crescent	Mount Crescent	http://listsofjohn.com/mapf?lat=44.4468&lon=-71.2798				
143	3194		3194	152	3194	UP-N Hitchcock	Mount Osceola	http://listsofjohn.com/mapf?lat=44.0873&lon=-71.5443				
144	3191	133	3191	153	3191	Cave Mountain	Diamond Pond	http://listsofjohn.com/peak/100723				
145	3190	134	3180	147	3199	South Deer Mountain	Second Connecticut Lake	http://listsofjohn.com/peak/100724				
146	3190	135	3180	148	3199	UP-Cleveland Notch	Bunnell Mountain	http://listsofjohn.com/peak/100725				
147	3159	137	3150	154	3168	Monadnock Mountain	Monadnock Mountain	https://listsofjohn.com/peak/17529				
148	3155	136	3155	156	3155	"Cardigan, Mount"	Mount Cardigan	https://listsofjohn.com/peak/100727				
149	3140	139	3120	155	3159	Wonalancet Hedgehog	Mount Chocorua	http://listsofjohn.com/mapf?lat=43.9415&lon=-71.3640				
150	3137	138	3137	157	3137	"Kent, Mount"	Rump Mountain	http://listsofjohn.com/peak/100728				
151	3119	140	3119	158	3119	"Crawford, Mount"	Stairs Mountain	https://listsofjohn.com/peak/100729				
152	3102	141	3102	159	3102	Blue Ridge - Dixville	Mount Pisgah	http://listsofjohn.com/peak/100730				
153	3097	142	3097	161	3097	*Randolph North	Mount Crescent	https://listsofjohn.com/peak/212688				
154	3097	143	3097	160	3099	UP-S Baldhead	Mount Pisgah	http://listsofjohn.com/peak/100732	https://listsofjohn.com/mapf?lat=44.8213&lon=-71.3690&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=44.8212&lon=-71.3682&z=16&t=u&d=r		
155	3097	144	3097	162	3097	UP-SW Tucker	Dixville Notch	http://listsofjohn.com/peak/100731				
156	3081	145	3081	163	3081	"Pisgah, Mount"	Mount Pisgah	http://listsofjohn.com/peak/100735				
157	3065	146	3065	165	3065	Bald Cap	Shelburne	http://listsofjohn.com/peak/100737				
158	3065		3065	164	3079	Loon Mountain-North Peak	Mount Osceola	http://listsofjohn.com/peak/100738	https://listsofjohn.com/mapf?lat=44.0349&lon=-71.6209&z=16&t=u&d=y			
159	3064		3064	166	3064	UP-W Hitchcock	Mount Osceola	http://listsofjohn.com/mapf?lat=44.0719&lon=-71.5528				
160	3063	147	3063	167	3063	*Wolf East	Lincoln	http://listsofjohn.com/peak/100740				
161	3060		3060	168	3060	UP-S Whaleback	Mount Osceola	http://listsofjohn.com/mapf?lat=44.0828&lon=-71.6131	https://listsofjohn.com/mapf?lat=44.0801&lon=-71.6080&z=15&t=u			
162	3053	148	3053	169	3053	North Doublehead	Jackson	http://listsofjohn.com/peak/100743				
163	3051	149	3051	170	3051	*Shoal Pond	Crawford Notch	http://listsofjohn.com/peak/100744				
164	3010	151	3000	171	3019	"DUrban, Mount"	Moose Bog	http://listsofjohn.com/peak/100753				
165	3010		3010	172	3010	UP - Spruce NE	Stratford	https://listsofjohn.com/mapf?lat=44.7206&lon=-71.5484&z=16&t=u&d=y				
	3009		3009	173	3009	UP - Wolf South	Mount Moosilauke	https://listsofjohn.com/mapf?lat=44.0627&lon=-71.7661&z=15&t=u				
	3004		3004	174	3004	"Parker, Mount"	Bartlett	https://listsofjohn.com/peak/100755				
166	3004	150	3004	175	3004	"Rosebrook, Mount"	Crawford Notch	http://listsofjohn.com/peak/100754				
167	2994	152	2994	176	2999	Jeffers Mountain	East Haverhill	http://listsofjohn.com/peak/100757	https://listsofjohn.com/mapf?lat=44.0336&lon=-71.9032&z=16&t=u&d=r			
168	2990	153	2990	178	2990	"Shaw, Mount"	Melvin Village	http://listsofjohn.com/peak/17363				
169	2985	154	2985	179	2985	Sugar Hill	Diamond Pond	http://listsofjohn.com/peak/100758				
170	2983	155	2983	180	2983	UP-Bdy 482	Second Connecticut Lake	http://listsofjohn.com/peak/100759				
