Rank-Avg	Elev-Avg	Rank-Prov	Elev-Prov	Rank-Opt	Elev-Opt	Name	Quad	Map1	Map2	Map3	Map4	Map5
413	2071	378	2071	439	2079	UP - Russell Pond	Lincoln	https://listsofjohn.com/mapf?lat=44.0020&lon=-71.6511&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=44.0031&lon=-71.6572&z=15&t=u&d=y			
414	2070	379	2070	442	2070	Bald Sunapee	Sunapee Lake South	https://listsofjohn.com/peak/101074				
415	2070	389	2060	437	2079	Ames Mountain	Wentworth	https://listsofjohn.com/peak/101075				
416	2068	380	2068	443	2068	"Forest, Mount"	Berlin	https://listsofjohn.com/peak/101076				
417	2067	381	2067	444	2067	Cummings Mountain	West Milan	https://listsofjohn.com/peak/101077				
418	2066	385	2066	445	2066	Crotched Mountain	Greenfield	https://listsofjohn.com/peak/101078				
419	2064	386	2064	447	2064	"Prospect, Mount"	Squam Mountains	https://listsofjohn.com/peak/101079				
420	2063	387	2063	438	2079	Cates Hill	Milan	https://listsofjohn.com/peak/101080	https://listsofjohn.com/mapf?lat=44.5051&lon=-71.1823&z=16&t=u&d=r			
421	2060	388	2060	448	2060	Hodgeman Hill	Marlow	https://listsofjohn.com/peak/101081				
422	2057	392	2047	446	2066	Jackson Hill	East Lempster	https://listsofjohn.com/peak/101082				
423	2053	390	2053	455	2053	UP - Constance Lake	East Haverhill	https://listsofjohn.com/peak/101084				
424	2050	397	2040	449	2059	Cape Horn	Groveton	https://listsofjohn.com/peak/101086				
425	2050	398	2040	450	2059	Diamond Peaks	Wilsons Mills	https://listsofjohn.com/peak/101085				
426	2050	399	2040	452	2059	UP - Camp Brk	Pittsburg	https://listsofjohn.com/mapf?lat=45.1208&lon=-71.4067&z=15&t=u&d=y				
427	2050	400	2040	453	2059	UP - Gardner Middle	Woodsville	https://listsofjohn.com/peak/101087				
428	2050	401	2040	454	2059	UP-Former Kim Day Dam	Pittsburg	https://listsofjohn.com/peak/101088				
429	2048	391	2048	456	2048	UP - Tabor Notch South	Pittsburg	https://listsofjohn.com/peak/101093				
430	2045	393	2045	460	2045	Holt Peak	Peterborough South	https://listsofjohn.com/peak/101094				
431	2044	394	2044	451	2059	Piper Mountain	Laconia	https://listsofjohn.com/peak/101095	https://listsofjohn.com/mapf?lat=43.5043&lon=-71.3778&z=16&t=u&d=y			
432	2042	395	2042	461	2042	Carr Ridge	Lake Francis	https://listsofjohn.com/peak/101096				
433	2041	396	2041	462	2041	Potato Hill	Stratford	https://listsofjohn.com/peak/101097				
434	2037	407	2028	457	2046	Bald Mountain	Stoddard	https://listsofjohn.com/peak/101098				
	2037		2028	458	2046	UP - Lovewell North	Lovewell Mountain	https://listsofjohn.com/mapf?lat=43.2437&lon=-72.0585&z=15&t=u&d=y				
435	2037	402	2037	468	2037	UP - Morgan Pond	Sunapee Lake North	https://listsofjohn.com/peak/101099				
	2037		2028	459	2046	UP - Pillsbury Fire Tower	Lovewell Mountain	https://listsofjohn.com/mapf?lat=43.2186&lon=-72.1069&z=15&t=u&d=y				
436	2034	403	2034	469	2034	Hoyt Hill	Mount Cardigan	https://listsofjohn.com/peak/101101				
437	2032	404	2032	470	2032	UP - Alder Brook East	Success Pond	https://listsofjohn.com/peak/101102				
438	2031	405	2031	471	2031	Tin Mountain	Jackson	https://listsofjohn.com/peak/101103				
439	2030	412	2020	464	2039	"Red Hill, North"	Center Sandwich	https://listsofjohn.com/peak/101104				
440	2030	413	2020	465	2039	UP - Boundary 503.4	Metallak Mountain	https://listsofjohn.com/mapf?lat=45.2347&lon=-71.4294&z=15&t=u&d=y				
441	2030	414	2020	466	2039	UP - Cilley Hill East	Bunnell Mountain	https://listsofjohn.com/mapf?lat=44.8573&lon=-71.3852&z=14&t=u&d=y				
442	2030	406	2030	472	2030	UP - Cilley West	Woodstock	https://listsofjohn.com/peak/101105				
443	2025	408	2025	475	2025	Ore Hill	Sugar Hill	https://listsofjohn.com/peak/101106				
444	2024	409	2024	476	2024	Bly Hill	Sunapee Lake South	https://listsofjohn.com/peak/101107				
445	2022	410	2022	477	2022	UP - Five In A Row	Dummer Ponds	https://listsofjohn.com/peak/101109				
446	2021		2021	478	2021	UP - Gile State Forest	New London	https://listsofjohn.com/mapf?lat=43.4773&lon=-71.9951&z=15&t=u&d=y				
447	2021	411	2021	479	2021	UP - Harris Pond	Lake Francis	https://listsofjohn.com/mapf?lat=45.0951&lon=-71.3644&z=15&t=u&d=y				
448	2020	424	2000	467	2039	UP - Sandwich Notch West	Squam Mountains	https://listsofjohn.com/peak/101110				
	2018		2008	473	2027	Fletcher Hill	Stoddard	https://listsofjohn.com/peak/101113				
449	2018	419	2008	474	2027	Green Mountain	Claremont North	https://listsofjohn.com/peak/101112				
450	2013	415	2013	481	2013	UP - Greenough Pond	Errol	https://listsofjohn.com/mapf?lat=44.8424&lon=-71.1529&z=15&t=u&d=y				
451	2012	416	2012	463	2039	Grandview Mountain	Lincoln	https://listsofjohn.com/peak/101115	https://listsofjohn.com/mapf?lat=44.0047&lon=-71.7053&z=16&t=u&d=y			
452	2011	417	2011	482	2011	UP - Wilcox Hill Upper	Newport	https://listsofjohn.com/peak/101116				
453	2010	425	2000	480	2019	White Ledge	Silver Lake	https://listsofjohn.com/peak/101117				
454	2009	418	2009	483	2009	UP - Brown Ash Swamp	Waterville Valley	https://listsofjohn.com/peak/101121				
455	2005	420	2005	485	2005	Slope Mountain	Chatham	https://listsofjohn.com/peak/101123				
456	2001	421	2001	486	2001	UP - Dalton North	Lancaster	https://listsofjohn.com/mapf?lat=44.3945&lon=-71.6551&z=15&t=u&d=r				
457	2001	422	2001	487	2001	Hersey Mountain	Bristol	https://listsofjohn.com/peak/101124				
458	2001	423	2001	488	2001	UP - Round Pound	West Alton	https://listsofjohn.com/peak/101125				
459	1998	427	1988	484	2007	Skatutakee Mountain	Dublin	https://listsofjohn.com/peak/101126	https://listsofjohn.com/mapf?lat=42.9687&lon=-72.0367&z=16&t=u&d=r			
460	1991	426	1991	494	1991	UP - Ad Chase Brook	Pittsburg	https://listsofjohn.com/peak/101127				
461	1990	430	1980	490	1999	Jewell Hill	Newfound Lake	https://listsofjohn.com/peak/101130				
462	1990	431	1980	491	1999	Location Hill	West Milan	https://listsofjohn.com/peak/101128				
463	1990	432	1980	493	1999	Young Mountain	Center Sandwich	https://listsofjohn.com/peak/101129				
464	1986	428	1986	496	1986	Stonehouse Mountain	Smarts Mountain	https://listsofjohn.com/peak/101131				
465	1982	429	1982	497	1982	UP - Happy Corner	Lake Francis	https://listsofjohn.com/peak/101132				
466	1980	437	1960	489	1999	Eagle Cliff West	Rumney	https://listsofjohn.com/peak/102549				
467	1980		1960	492	1999	UP - Hall Ponds North	Squam Mountains	https://listsofjohn.com/mapf?lat=43.8668&lon=-71.5421&z=15&t=u&d=y				
468	1978	435	1968	495	1987	Huntley Mountain	East Lempster	https://listsofjohn.com/peak/101133				
469	1978	433	1978	500	1978	Chickwolnepy Mountain	Success Pond	https://listsofjohn.com/peak/101134				
	1976		1976	501	1976	Priest Hill	Franconia	https://listsofjohn.com/peak/101138				
470	1975	434	1975	502	1975	Indian Pond Mountain	Piermont	https://listsofjohn.com/peak/101139				
471	1970		1960	498	1979	UP - Plymouth Mtn W	Ashland	https://listsofjohn.com/mapf?lat=43.7035&lon=-71.7410&z=16&t=u&d=r				
472	1970	438	1960	499	1979	UP - Shatney North	Pittsburg	https://listsofjohn.com/mapf?lat=45.0934&lon=-71.3899&z=15&t=u&d=y				
473	1963	436	1963	507	1963	Farr Hill	Littleton	https://listsofjohn.com/peak/101142				
474	1959	440	1949	504	1967	Oak Hill	Washington	https://listsofjohn.com/peak/101145				
475	1959	441	1949	505	1967	Round Mtn/Bacon Ledge	Stoddard	https://listsofjohn.com/peak/101143	https://listsofjohn.com/peak/101147			
	1959		1949	506	1967	UP - Ames West	Washington	https://listsofjohn.com/mapf?lat=43.1926&lon=-72.1133&z=15&t=u&d=r	https://listsofjohn.com/mapf?lat=43.1860&lon=-72.1171&z=15&t=u&d=r			
476	1958		1958	514	1958	Currier Hill	Warren	https://listsofjohn.com/peak/101146				
477	1955	439	1955	503	1967	Melville Hill/Dakin Hill	Marlow	https://listsofjohn.com/peak/101144	https://listsofjohn.com/peak/101149			
478	1950		1940	508	1959	"Misery, Mount"	Littleton	https://listsofjohn.com/peak/101151				
479	1950	447	1940	509	1959	Rowes Hill	Hillsboro Upper Village	https://listsofjohn.com/peak/101150				
480	1950	448	1940	510	1959	Spruce Hill (Moat SW)	North Conway West	https://listsofjohn.com/mapf?lat=44.0141&lon=-71.2273&z=15&t=u&d=y				
481	1950	449	1940	511	1959	UP - Chickwolnepy SE	Success Pond	https://listsofjohn.com/mapf?lat=44.5811&lon=-71.1006&z=15&t=u&d=r				
482	1950	450	1940	512	1959	UP - Dead Diamond	Mount Pisgah	https://listsofjohn.com/mapf?lat=44.9734&lon=-71.1406&z=16&t=u&d=y				
483	1948	442	1948	515	1948	Bear Hill	Smarts Mountain	https://listsofjohn.com/peak/101152				
	1946		1946	520	1946	UP - Little Greenough Pd	Errol	https://listsofjohn.com/mapf?lat=44.8531&lon=-71.1282&z=15&t=u&d=r				
484	1942	443	1942	521	1942	Garnet Hill	Sugar Hill	https://listsofjohn.com/peak/101153				
485	1942	444	1942	513	1959	UP - Thompson South	Mount Cardigan	https://listsofjohn.com/mapf?lat=43.7243&lon=-71.9882&z=15&t=u&d=r	https://listsofjohn.com/mapf?lat=43.7262&lon=-71.9896&z=15&t=u&d=r			
486	1942	445	1942	522	1942	UP - Tinkerville	Tinkerville	https://listsofjohn.com/mapf?lat=44.7677&lon=-71.5820&z=15&t=u&d=y				
487	1939	451	1929	516	1948	Gove Hill	Claremont South	https://listsofjohn.com/peak/101156				
488	1939	452	1929	517	1948	"Pleasant, Mount"	Lancaster	https://listsofjohn.com/peak/101157	https://listsofjohn.com/mapf?lat=44.4539&lon=-71.5887&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=44.4541&lon=-71.5889&z=16&t=u&d=r		
489	1939		1929	519	1948	UP - Methodist South	Grantham North	https://listsofjohn.com/mapf?lat=43.5779&lon=-72.1778&z=14&t=u&d=y				
	1936		1936	525	1936	Hunt Mountain	Barnet	https://listsofjohn.com/peak/101159				
490	1936	450	1936	518	1948	UP - Dalton 2	Bethlehem	https://listsofjohn.com/mapf?lat=44.3629&lon=-71.6983&z=16&t=u&d=y	https://listsofjohn.com/mapf?lat=44.3627&lon=-71.6990&z=16&t=u&d=y	https://listsofjohn.com/mapf?lat=44.3655&lon=-71.7014&z=16&t=u&d=y		
491	1930	453	1920	523	1939	Kings Hill	Bradford	https://listsofjohn.com/peak/101160				
492	1930	454	1920	524	1939	Little Roundtop Mountain	Umbagog Lake South	https://listsofjohn.com/peak/101161				
	1930		1930	526	1930	"Pickering, Mount"	North Conway West	https://listsofjohn.com/peak/101162				
493	1919	456	1909	527	1928	Cobb Hill	Dublin	https://listsofjohn.com/peak/101166				
494	1919	457	1909	528	1928	Holt Hill	Stoddard	https://listsofjohn.com/peak/101165				
	1919		1909	529	1928	Morrison Hill	Stoddard	https://listsofjohn.com/peak/101168	https://listsofjohn.com/mapf?lat=43.0507&lon=-72.1086&z=15&t=u&d=y			
495	1919	458	1909	530	1928	Willard Mountain	Stoddard	https://listsofjohn.com/peak/101167				
496	1910	462	1900	531	1919	Dickinson Hill	Danbury	https://listsofjohn.com/peak/101175				
497	1910	463	1900	533	1919	Roundtop Mountain	Umbagog Lake South	https://listsofjohn.com/peak/101177				
498	1910	455	1910	536	1910	Straightback Mountain	West Alton	https://listsofjohn.com/peak/101176				
499	1910	464	1900	534	1919	Streeter Mountain	Wentworth	https://listsofjohn.com/peak/101178	https://listsofjohn.com/mapf?lat=43.7821&lon=-71.9409&z=16&t=u&d=y			
500	1905	459	1905	539	1905	Parker Mountain	Littleton	https://listsofjohn.com/peak/101181				
501	1905	460	1905	540	1905	Peaked Hill	Ashland	https://listsofjohn.com/peak/101180	 			
502	1904	461	1904	532	1919	Oak Hill	Milan	https://listsofjohn.com/peak/101182	https://listsofjohn.com/mapf?lat=44.5571&lon=-71.1435&z=16&t=u&d=r			
503	1903		1903	535	1919	UP - Brown Ash Swamp S	Waterville Valley	https://listsofjohn.com/mapf?lat=43.9418&lon=-71.6214&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=43.9394&lon=-71.6239&z=15&t=u&d=y			
504	1900	470	1890	537	1908	Little Monadnock Mountain	Troy	https://listsofjohn.com/peak/101183				
505	1900	471	1890	538	1908	UP - Gap Mtn South	Troy	https://listsofjohn.com/peak/101184				
	1900		1900	541	1900	UP - Hedgehog East	Stoddard	https://listsofjohn.com/mapf?lat=43.0943&lon=-72.1167&z=16&t=u&d=y				
506	1896	465	1896	545	1896	Beede Mountain	Gilman	https://listsofjohn.com/peak/101187				
507	1896	466	1896	546	1896	Bickford Hill	West Milan	https://listsofjohn.com/peak/101186				
508	1893	467	1893	547	1893	Wallace Hill	Gilman	https://listsofjohn.com/peak/101190				
509	1893	468	1893	548	1893	Closton Hill	Milan	https://listsofjohn.com/peak/101189				
510	1891	469	1891	549	1891	Birch Hill	Bartlett	https://listsofjohn.com/peak/101191				
511	1890	477	1880	542	1899	Double Top Mountain	Teakettle Ridge	https://listsofjohn.com/peak/101192				
512	1890	478	1880	543	1899	Morse Mountain	Stratford	https://listsofjohn.com/peak/101193				
513	1888	472	1888	544	1899	UP - Lamb Valley Pond	Wilsons Mills	https://listsofjohn.com/mapf?lat=44.9617&lon=-71.1171&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=44.9618&lon=-71.1177&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=44.9618&lon=-71.1186&z=16&t=u&d=r		
514	1884	473	1884	552	1884	Green Mountain	Freedom	https://listsofjohn.com/peak/101198				
	1883		1883	553	1883	UP - Round East	West Alton	https://listsofjohn.com/mapf?lat=43.5137&lon=-71.3258&z=16&t=u&d=y				
515	1881	474	1881	554	1881	Collins Hill	Lovering Mountain	https://listsofjohn.com/peak/101201				
516	1881	475	1881	555	1881	Dearth Hill	Lovering Mountain	https://listsofjohn.com/peak/101200				
517	1881	476	1881	556	1881	New Ipswich Mountain	Ashburnham	https://listsofjohn.com/peak/101199				
518	1880	482	1870	550	1889	Beech Hill	Dublin	https://listsofjohn.com/peak/101202	https://listsofjohn.com/mapf?lat=42.9145&lon=-72.0700&z=15&t=u&d=r			
519	1880	483	1870	551	1889	Potato Hill	Newport	https://listsofjohn.com/peak/101203	https://listsofjohn.com/mapf?lat=43.2910&lon=-72.2354&z=16&t=u&d=y			
520	1880	479	1880	557	1880	UP - Chapin Pond	Claremont North	https://listsofjohn.com/mapf?lat=43.4129&lon=-72.2741&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=43.4133&lon=-72.2758&z=15&t=u&d=y			
521	1873	480	1873	561	1873	Unity Mountain	Claremont South	https://listsofjohn.com/peak/101206				
522	1873	481	1873	562	1873	UP - Success Pd Rd W	Berlin	https://listsofjohn.com/mapf?lat=44.4705&lon=-71.1448&z=15&t=u&d=r				
523	1870	485	1860	559	1879	Ore Hill	Warren	https://listsofjohn.com/peak/101217				
524	1868	484	1868	558	1879	Copple Crown Mountain	Sanbornville	https://listsofjohn.com/peak/101207	https://listsofjohn.com/mapf?lat=43.5343&lon=-71.1149&z=15&t=u&d=r			
525	1868		1868	564	1868	Patch Hill	Mount Kineo	https://listsofjohn.com/peak/101208				
526	1860		1850	563	1869	UP - Moose South	Enfield	https://listsofjohn.com/mapf?lat=43.6751&lon=-72.1661&z=15&t=u&d=y	 			
527	1860	492	1840	560	1879	Sugar Hill	Mount Carrigain	https://listsofjohn.com/peak/101211				
528	1857	486	1857	571	1857	Middle Mountain	North Conway East	https://listsofjohn.com/peak/101215				
	1857		1857	572	1857	UP - Dalton SW	Bethlehem	https://listsofjohn.com/mapf?lat=44.3600&lon=-71.7192&z=15&t=u&d=y				
529	1853		1853	573	1853	Bayle Mountain	Tamworth	https://listsofjohn.com/peak/101218				
530	1852	487	1852	574	1852	UP - Androscoggin W	Errol	https://listsofjohn.com/mapf?lat=44.7529&lon=-71.1541&z=15&t=u&d=r				
531	1850	490	1840	565	1859	Barrett Mountain	Peterborough South	https://listsofjohn.com/peak/101221				
532	1850		1840	567	1859	Dummer Hill	Dummer Ponds	https://listsofjohn.com/peak/101222				
533	1850	491	1840	568	1859	Stewarts Peak	Warner	https://listsofjohn.com/peak/101219				
534	1850	493	1840	569	1859	UP - Bailey Hill East	Wentworth	https://listsofjohn.com/peak/101220				
535	1847	488	1847	566	1859	Bear Mountain	Newfound Lake	https://listsofjohn.com/peak/101224	https://listsofjohn.com/mapf?lat=43.6621&lon=-71.8097&z=16&t=u&d=y			
536	1841	489	1841	570	1859	Wyatt Hill	Warren	https://listsofjohn.com/peak/101225	https://listsofjohn.com/mapf?lat=43.9823&lon=-71.9078&z=16&t=u&d=r			
537	1841	494	1831	575	1849	Orne Mountain	Lancaster	https://listsofjohn.com/peak/101226				
538	1830	498	1820	576	1839	Carlton Hill	Bunnell Mountain	https://listsofjohn.com/peak/101229				
539	1830	499	1820	577	1839	Sawyer Hill	Warner	https://listsofjohn.com/peak/101230				
540	1823	495	1823	580	1823	Major Mountain	Chatham	https://listsofjohn.com/peak/101237				
541	1823	496	1823	581	1823	Sunday Mountain	Piermont	https://listsofjohn.com/peak/101236				
542	1823	497	1823	582	1823	UP - Round	Errol	https://listsofjohn.com/peak/101233				
543	1821		1811	579	1830	Nancy Mountain	Stoddard	https://listsofjohn.com/peak/101238				
544	1820		1800	578	1839	UP - Cone SW	Waterville Valley	https://listsofjohn.com/mapf?lat=43.9028&lon=-71.6230&z=15&t=u&d=y				
545	1818	500	1818	584	1818	Hoyt Hill	Sunapee Lake North	https://listsofjohn.com/peak/101241				
